epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,57355,1.44663,0.93253,1.11558,0.82111,0.71676,0.78881,0.42591,1.50337,0.90706,1.17337,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,58299.1,1.4663,0.93411,1.10852,0.83196,0.71548,0.79842,0.42938,1.50148,0.90919,1.15995,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,59334.6,1.47217,0.94226,1.11047,0.84497,0.70926,0.79561,0.43345,1.49346,0.90037,1.16046,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,60311.2,1.45206,0.94004,1.10897,0.82143,0.72644,0.79702,0.43886,1.48293,0.90634,1.15056,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,61244.4,1.47382,0.94041,1.10965,0.8363,0.71725,0.79755,0.43493,1.50569,0.90902,1.16654,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,62022.1,1.46441,0.92276,1.09954,0.83121,0.7296,0.80086,0.44052,1.49581,0.90324,1.16522,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,62770.5,1.44606,0.92041,1.10535,0.83224,0.70903,0.79695,0.42747,1.5188,0.92195,1.17623,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,63578.4,1.43488,0.89817,1.0921,0.81376,0.72664,0.79183,0.43394,1.50888,0.90105,1.17919,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,64333.4,1.44262,0.93568,1.10738,0.83784,0.70655,0.79107,0.42899,1.50777,0.89909,1.17068,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,65126.5,1.41695,0.91178,1.10133,0.83703,0.7221,0.79759,0.43276,1.50473,0.89538,1.1714,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
